Name,Altname,RAJ2000,DEJ2000,Dist,Kmag,Bmag,a26,b/a,HRV,i,TT,Mcl,img,size
IC2038,,62.2254166,-55.9922222,19.2,12.0,14.98,2.09,0.24,712,79,7," ",,0.0
SMC,,13.15833331,-72.8002777,0.06,0.16,2.7,380.19,0.64,158,58,9,Im,,0.0
ESO115-021,,39.4374999,-61.34111104,4.99,9.97,13.34,7.24,0.14,515,90,7," ",,0.0
IC1959,,53.2991666,-50.4105555,6.05,11.04,13.2,4.07,0.23,640,79,8," ",,0.0
NGC1311,,50.0308333,-52.18499995,5.2,10.92,13.4,4.68,0.25,571,78,8," ",,0.0
ESO154-023,,44.20999994,-54.5730555,5.55,9.81,12.71,8.32,0.18,574,83,8," ",,0.0
ESO199-007,,44.51708325,-49.3824999,6.56,14.01,16.44,1.07,0.4,630,90,10,Ir,,0.0
NGC1705,,73.5570832,-53.3613888,5.11,10.52,12.77,2.24,0.74,628,48,9,BCD,,0.0
HIPASS J0457-42,,74.2445832,-42.80388885,7.2,12.06,14.46,1.41,0.37,657,70,10,Ir,,0.0
PGC013294,,53.9866666,-45.1913888,7.98,13.73,16.13,0.62,0.8,744,41,10,Ir,,0.0
NGC1291,,49.3274999,-41.1080555,8.8,5.66,9.42,14.45,0.92,838,25,1," ",,0.0
ESO300-014,,47.4074999,-41.0305555,9.8,10.0,13.06,7.08,0.52,955,60,8," ",,0.0
ESO300-016,,47.54374996,-40.0030555,8.8,13.15,15.57,1.45,0.72,710,50,10,Ir,,0.0
NGC1800,,76.6070832,-31.95416662,8.0,10.21,13.13,2.0,0.55,814,67,9,BCD,,0.0
NGC1592,,67.4199999,-27.40861107,9.1,12.66,14.45,1.41,0.48,945,75,10,Ir,,0.0
Phoenix,,27.77624997,-44.4447222,0.44,11.31,13.72,5.5,0.85,-52,35,10,Tr,,0.0
ESO245-005,,26.26499997,-43.5980555,4.43,10.26,12.7,3.8,0.89,393,30,9,Im,,0.0
NGC0625,,23.7708333,-41.43638885,3.89,8.9,11.59,7.08,0.28,395,76,8," ",,0.0
AM0106-382,,17.09166665,-38.2091666,8.2,13.86,16.26,0.72,0.56,645,66,10,Ir,,0.0
ESO294-010,,6.63874999,-41.8555555,1.92,14.08,15.53,1.51,0.64,107,58,10,Tr,,0.0
NGC0055,,3.78541666,-39.22027774,2.13,6.25,8.84,37.15,0.17,129,84,8," ",,0.0
NGC0300,,13.72291665,-37.6825,2.15,6.38,8.95,25.7,0.71,146,45,7," ",,0.0
Sculptor,,15.03916665,-33.7091666,0.09,5.9,10.05,39.81,0.68,105,60,-3,Sph,,0.0
Fornax,,39.9779166,-34.5258333,0.14,5.13,9.28,17.78,0.7,29,58,-3,Sph,,0.0
ESO483-013,,63.1712499,-23.15888885,7.4,10.84,14.06,1.58,0.54,898,68,9,BCD,,0.0
NGC1400,,54.8783332,-18.68805554,24.5,7.81,11.92,3.47,0.87,569,36,-3," ",,0.0
ESO006-001,,124.8470832,-85.1455555,6.7,12.97,15.13,1.1,0.91,738,27,9,BCD,,0.0
NGC2915,,141.5479165,-76.6263888,3.78,9.7,13.2,2.0,0.53,467,69,9,BCD,,0.0
ESO059-001,,112.8304165,-68.186111,4.57,11.25,13.98,2.14,0.81,530,40,9,Im,,0.0
ESO215-009,,164.375833,-48.17888885,5.25,12.6,16.03,2.0,0.6,598,62,10,Ir,,0.0
ESO320-014,,174.4724997,-39.2205555,6.08,12.9,15.85,1.38,0.64,654,58,10,Ir,,0.0
ESO318-013,,161.9245832,-38.85416664,6.5,12.07,14.97,1.78,0.14,718,90,8," ",,0.0
NGC3621,,169.567083,-32.8116666,6.7,6.6,10.18,12.3,0.44,730,65,7," ",,0.0
RKK1610,,146.3533332,-48.1413888,14.9,12.63,16.9,0.93,0.68,882,54,10,Ir,,0.0
ESO373-007,,143.1891664,-33.2455555,8.3,13.52,16.4,1.29,0.54,862,68,10,Ir,,0.0
ESO376-016,,160.8629165,-37.0425,7.1,12.95,15.53,0.69,0.56,670,66,10,Ir,,0.0
Antlia,,151.0166665,-27.33194442,1.32,12.73,16.19,2.0,0.75,362,47,10,Tr,,0.0
ESO499-038,,150.9591665,-26.61277776,15.3,13.06,15.68,0.83,0.55,885,67,10,Ir,,0.0
NGC3109,,150.7799997,-26.15999997,1.32,7.5,10.39,19.95,0.19,403,83,8," ",,0.0
ESO501-023,,158.8466664,-24.75416663,7.0,10.34,13.2,3.47,0.79,1042,38,8," ",,0.0
FG202,,106.3212499,-58.52055546,4.9,12.13,14.95,1.95,0.47,564,76,10,Ir,,0.0
LV J0616-5745,,94.0383333,-57.7652777,6.0,14.5,17.01,0.4,0.8,554,41,10,Ir,,0.0
ESO121-020,,93.9770833,-57.72638884,6.05,12.76,15.27,0.93,0.71,587,51,10,Ir,,0.0
Carina,,100.4029166,-50.96611104,0.1,6.95,11.3,24.55,0.67,224,62,-3,Sph,,0.0
KK55,,99.8870832,-40.72027774,7.65,13.4,16.05,0.71,0.64,824,58,10,Ir,,0.0
HIZSS021,,116.5687498,-28.46972217,3.0,11.13,17.5,0.8,0.65,494,57,10,Ir,,0.0
HIZSS008,,111.3416665,-24.47527773,7.43,8.5,16.9,1.35,0.43,800,66,7," ",,0.0
HIZSS012,,112.5345832,-22.0169444,7.2,9.0,19.0,3.2,0.5,779,61,8," ",,0.0
HIPASS J0905-36,,136.4999997,-36.05999995,7.93,13.38,17.4,0.5,0.75,886,47,10,Ir,,0.0
CGMW2-3473,,126.3037498,-28.14027772,7.4,11.93,15.22,0.78,0.58,837,64,9,BCD,,0.0
ESO495-021,,129.063333,-26.4094444,7.96,9.0,12.45,2.09,0.77,868,45,9,BCD,,0.0
KK73,,138.122083,-24.24111106,9.8,10.62,16.35,0.62,0.62,,68,-3,Sph,,0.0
NGC2784 dw01,,138.0770832,-24.2111111,9.8,12.36,17.27,0.89,0.89,,33,-3,Sph,,0.0
NGC2784,,138.0808332,-24.17166663,9.82,6.33,11.24,5.5,0.4,687,90,-2," ",,0.0
KK72,,137.9262498,-23.9822222,9.8,13.17,18.0,0.45,0.83,,41,-3,Sph,,0.0
KK71,,137.2954165,-23.36777775,9.8,12.9,17.7,0.4,0.78,,48,-3,Sph,,0.0
DDO056,,137.4441666,-23.00916662,9.8,12.6,15.63,1.29,0.7,724,52,10,Ir,,0.0
ESO496-010,,132.2749998,-26.31999997,7.8,11.9,14.83,1.05,0.66,814,56,9,BCD,,0.0
ESO497-004,,135.7629165,-23.8083333,19.0,12.79,16.36,1.12,0.23,806,79,8," ",,0.0
NGC3037,,147.8499997,-27.01111106,8.1,11.12,13.64,1.29,0.87,887,30,8," ",,0.0
LV J0939-2507,,144.8958331,-25.12638886,6.15,12.92,15.5,0.63,0.57,741,65,10,Ir,,0.0
LV J0944-2254,,146.0837498,-22.91611107,6.05,14.18,16.83,0.32,0.76,729,46,9,BCD,,0.0
DDO062,,140.3645831,-22.50055554,18.6,11.72,14.8,2.51,0.24,846,79,8," ",,0.0
HIPASS J0916-23b,,139.2416665,-23.2797222,10.3,13.06,15.84,0.66,0.37,837,90,10,Ir,,0.0
NGC2835,,139.4704164,-22.35527776,10.3,7.92,11.01,8.91,0.67,885,49,5," ",,0.0
ESO565-003,,140.79125,-20.16749997,7.52,12.93,15.53,0.72,0.67,829,55,10,Ir,,0.0
UGCA153,,138.3004165,-19.4086111,21.9,12.36,15.4,2.24,0.6,766,54,8," ",,0.0
LV J0935-1348,,143.8399997,-13.81444442,7.3,14.08,16.6,0.42,0.75,796,47,9,BCD,,0.0
ESO495-008,,125.2529165,-23.78138884,17.3,13.21,16.06,0.69,0.28,789,90,10,Ir,,0.0
HIPASS J0801-21,,120.3558332,-21.99749995,6.34,13.97,17.2,0.48,0.55,730,67,10,Ir,,0.0
HIZSS014,,114.0941665,-19.4944444,7.35,10.82,18.4,0.4,0.6,786,62,9,BCD,,0.0
IC3104,,184.692083,-79.726111,2.27,9.26,13.65,3.72,0.47,429,76,9,Im,,0.0
HIPASS J1247-77,,191.885833,-77.583611,3.16,13.5,18.0,0.66,0.48,413,75,10,Ir,,0.0
ESO137-018,,245.247083,-60.4874999,6.4,8.37,12.23,3.47,0.34,603,73,6," ",,0.0
CIRCINUS,,213.2887496,-65.3391666,4.2,5.28,12.12,6.92,0.43,434,69,3," ",,0.0
HIPASS J1441-62,,220.4279165,-62.76722216,6.02,12.93,20.5,0.3,0.65,672,57,10,Ir,,0.0
HIPASS J1526-51,,231.5954164,-51.1752777,5.68,14.64,19.5,,,605,,10,Ir,,0.0
ESO222-010,,218.7624996,-49.4216666,5.8,12.96,16.33,0.44,0.44,620,81,10,Ir,,0.0
ESO223-009,,225.2854163,-48.2924999,6.49,9.44,13.82,2.63,0.92,588,26,10,Ir,,0.0
ESO274-001,,228.5562498,-46.8124999,3.09,8.36,11.7,13.49,0.1,524,90,7," ",,0.0
ESO273-014,,224.6262497,-47.69861106,9.9,9.79,12.9,3.8,0.73,1050,44,7," ",,0.0
IC4662,,266.7762495,-64.6402777,2.44,8.53,11.74,2.82,0.57,302,65,9,BCD,,0.0
ESO174-001,,206.9904165,-53.351111,3.6,11.5,14.2,2.45,0.43,686,83,10,Ir,,0.0
NGC5206,,203.4329164,-48.15111106,3.47,8.48,11.62,3.72,0.86,583,37,-3," ",,0.0
ESO270-017,,203.697083,-45.5474999,3.6,8.2,11.71,15.85,0.12,827,90,8," ",,0.0
NGC4945,,196.35875,-49.4711111,3.8,4.49,9.28,28.18,0.19,563,86,6," ",,0.0
ESO219-010,,194.0399996,-50.1438888,4.29,11.44,16.42,0.68,0.79,,47,-3,Sph,,0.0
ESO269-058,,197.637083,-46.9908333,3.8,9.04,13.29,4.68,0.6,400,62,9,Ir,,0.0
ESO269-037,,195.89,-46.5841666,3.48,13.42,16.29,1.2,0.75,744,47,10,Ir,,0.0
KK203,,201.867083,-45.3524999,3.6,14.95,17.7,0.5,0.99,,9,10,Tr,,0.0
KK196,,200.4462496,-45.06333325,3.98,13.46,16.14,0.87,0.77,741,45,10,Ir,,0.0
ESO269-066,,198.288333,-44.8899999,3.82,10.12,14.59,2.14,0.86,784,34,-1,Sph,,0.0
NGC5128,,201.3704164,-43.0166666,3.75,3.94,7.84,34.67,0.78,556,45,-2," ",,0.0
PGC051659,,217.0154162,-46.3016666,3.58,12.34,15.2,1.86,0.38,391,90,10,Ir,,0.0
CenN,,207.038333,-47.5649999,3.66,12.84,17.5,0.76,0.78,,48,-3,Sph,,0.0
HIPASS J1351-47,,207.8416664,-46.,5.73,14.6,17.5,0.56,0.6,529,62,10,Ir,,0.0
ESO272-025,,220.8562496,-44.7052777,5.88,12.27,14.79,1.58,0.5,631,72,10,Ir,,0.0
KK221,,207.193333,-46.9969444,3.98,14.4,17.3,1.51,0.67,507,55,10,Ir,,0.0
KK217,,206.5716663,-45.6847221,3.84,12.99,17.57,0.65,0.83,,41,-3,Sph,,0.0
KK211,,205.523333,-45.2049999,3.58,11.78,16.32,1.2,0.87,600,34,-2,Sph,,0.0
KK213,,205.8991664,-43.7691666,3.63,13.52,18.0,0.48,0.5,,90,-3,Sph,,0.0
NGC5408,,210.839583,-41.3763888,4.81,10.5,12.2,2.82,0.42,502,87,9,Im,,0.0
[KK2000] 57,,205.4087497,-42.5819444,3.93,13.64,18.1,0.55,0.87,,36,-3,Sph,,0.0
NGC5237,,204.412083,-42.8475,3.4,9.85,13.23,2.0,0.84,361,37,9,BCD,,0.0
ESO325-011,,206.253333,-41.85888885,3.4,11.32,14.02,3.16,0.48,544,75,10,Ir,,0.0
HIPASS J1337-39,,204.354583,-39.8977777,4.83,13.8,16.5,0.52,0.83,492,38,10,Ir,,0.0
HIPASS J1348-37,,207.1412499,-37.96749994,5.75,14.9,17.6,0.47,0.8,582,41,10,Ir,,0.0
ESO384-016,,209.2566663,-35.33388886,4.53,12.0,15.11,1.32,0.69,561,53,9,BCD,,0.0
[KK2000] 51,,191.089583,-42.93972215,3.6,14.6,17.3,0.55,0.44,,81,10,Tr,,0.0
NGC5011C,,198.2995832,-43.2655555,3.6,11.24,14.21,1.17,0.66,647,56,-1,Tr,,0.0
[KK2000] 55,,200.5516665,-42.7308333,3.94,13.82,18.5,0.79,0.88,,34,-3,Sph,,0.0
KK197,,200.5074996,-42.5355555,3.87,10.98,15.68,1.58,0.78,,48,-3,Sph,,0.0
ESO324-024,,201.905833,-41.4805555,3.73,10.35,12.91,3.31,0.72,514,44,8," ",,0.0
KK189,,198.1874997,-41.8319444,4.21,13.2,17.75,0.6,0.67,,62,-3,Sph,,0.0
KK182,,196.262083,-40.0827777,5.78,13.47,16.33,0.91,0.6,617,62,10,Ir,,0.0
[KK2000] 53,,197.8091664,-38.9061111,3.6,12.85,17.3,0.79,0.87,,36,-3,Sph,,0.0
ESO321-014,,183.4566665,-38.2313889,3.18,12.7,15.21,1.41,0.43,609,83,10,Ir,,0.0
ESO381-018,,191.1779165,-35.9666666,5.32,13.52,15.72,0.79,0.58,624,64,10,Ir,,0.0
ESO381-020,,191.5016664,-33.8380555,5.45,12.11,14.44,2.82,0.4,589,90,10,Ir,,0.0
[KK2000] 58,,206.503333,-36.3288888,3.6,13.06,17.41,0.93,0.7,,58,-3,Sph,,0.0
ESO383-087,,207.328333,-36.06138885,3.45,8.2,11.0,5.62,0.8,326,37,8," ",,0.0
NGC5102,,200.490833,-36.6297222,3.4,6.92,10.28,13.49,0.32,464,90,1," ",,0.0
HIDEEP J1337-33,,204.2524997,-33.3630555,4.37,14.76,17.3,0.2,0.95,591,20,10,Ir,,0.0
KK198,,200.7337496,-33.5727777,4.6,13.28,17.65,0.5,0.83,,41,-3,Tr,,0.0
NGC5398,,210.3424997,-33.0644444,8.1,10.34,12.78,3.55,0.52,1220,60,7," ",,0.0
NGC5253,,204.9824996,-31.63999997,3.56,8.29,10.87,6.92,0.38,407,69,8," ",,0.0
KK218,,206.664583,-29.9791666,4.6,13.26,17.6,0.81,0.45,,90,-3,Sph,,0.0
NGC5264,,205.4041664,-29.91388884,4.53,9.5,12.6,3.47,0.6,478,54,8," ",,0.0
NGC5236,,204.2504164,-29.86777775,4.92,4.62,8.2,18.62,0.89,519,28,5," ",,0.0
KK208,,204.1479165,-29.5708333,4.68,10.03,14.3,5.89,0.42,,90,-3,Sph,,0.0
UGCA365,,204.128333,-29.23638886,5.25,12.64,15.49,1.58,0.42,577,87,10,Ir,,0.0
IC4316,,205.0754163,-28.89444442,4.41,10.96,14.56,2.04,0.63,576,59,10,Ir,,0.0
[KK2000] 54,,200.3849996,-31.88638884,4.6,15.51,18.13,0.66,0.68,,54,10,Tr,,0.0
KK195,,200.2841664,-31.5297222,5.22,14.5,17.1,0.71,0.46,572,78,10,Ir,,0.0
KK200,,201.1499998,-30.97222218,4.63,13.42,16.67,1.1,0.62,494,60,10,Ir,,0.0
IC4247,,201.6849997,-30.36249997,4.97,11.25,14.41,1.66,0.38,420,90,10,Ir,,0.0
ESO443-009,,193.723333,-28.3408333,5.78,14.4,17.01,0.71,0.75,645,47,10,Ir,,0.0
MCG -04-31-038,,197.4024997,-27.1405555,7.8,10.8,15.09,1.02,0.67,684,55,10,Ir,,0.0
ESO444-084,,204.3341665,-28.04611106,4.61,12.6,15.06,1.35,0.77,587,45,10,Ir,,0.0
AM1320-230,,200.874583,-23.39305552,4.6,13.11,17.53,0.69,0.57,,77,-3,Tr,,0.0
PGC170257,,202.3374998,-21.17916664,6.5,12.6,15.33,0.93,0.75,650,47,9,BCD,,0.0
Centaurus A-dE5,,217.5208331,-33.47916664,9.0,15.78,18.43,0.52,0.58,,64,10,Tr,,0.0
IC5052,,313.025833,-69.2038888,6.03,8.88,11.68,8.13,0.14,584,90,7," ",,0.0
Tucana,,340.454166,-64.4199999,0.88,11.47,15.7,2.88,0.41,194,90,-1,Tr,,0.0
IC4870,,294.4066664,-65.8119444,7.3,12.11,14.5,1.74,0.56,877,66,9,BCD,,0.0
IC4710,,277.158333,-66.9822222,7.94,9.56,12.51,3.72,0.78,739,39,8," ",,0.0
ESO104-022,,283.921666,-64.8108332,6.7,12.95,15.63,1.48,0.67,797,55,10,Ir,,0.0
NGC6684,,282.24125,-65.1733332,8.7,7.05,11.31,3.98,0.65,866,55,0," ",,0.0
ESO104-044,,287.8462494,-64.2191665,8.3,12.46,14.96,1.78,0.64,750,58,10,Ir,,0.0
[KK2000] 70,,286.7454164,-63.9658332,8.3,15.17,17.7,0.55,0.82,,39,10,Ir,,0.0
NGC6744,,287.4412497,-63.8577777,8.3,5.94,9.14,21.38,0.65,841,51,4," ",,0.0
[KK2000] 71,,287.183333,-63.7313888,8.3,12.58,15.1,1.82,0.39,,90,10,Ir,,0.0
[KK2000] 72,,288.095416,-63.85611105,8.3,15.39,17.9,0.55,0.75,,47,10,Ir,,0.0
IC4951,,302.3824994,-61.85055545,9.8,10.98,13.97,3.24,0.18,814,83,8," ",,0.0
NGC7090,,324.119166,-54.55722215,6.7,8.16,11.33,10.23,0.18,850,89,6," ",,0.0
ESO238-005,,335.6254164,-48.40499994,7.8,12.28,14.7,3.09,0.65,706,57,10,Ir,,0.0
AM2220-460,,335.929166,-45.8822222,8.8,13.97,16.37,0.89,0.91,843,27,10,Ir,,0.0
ESO149-003,,358.011666,-52.5774999,5.9,12.65,15.05,2.63,0.18,574,90,10,Ir,,0.0
ApplesI,,348.7637496,-42.5394444,8.32,17.25,21.4,0.1,0.73,674,54,-3,Sph,,0.0
NGC7713,,354.0624994,-37.9388888,7.8,9.19,11.49,6.76,0.41,692,68,6," ",,0.0
LV J2335-3713,,353.767083,-37.2205555,7.8,14.23,16.64,0.58,0.57,615,65,10,Ir,,0.0
NGC7462,,345.696666,-40.83499994,10.1,9.65,12.53,5.5,0.17,1057,90,6," ",,0.0
ESO347-017,,351.7337493,-37.3469444,7.6,11.78,14.69,1.91,0.34,691,72,7," ",,0.0
IC5332,,353.6145826,-36.1016666,7.8,8.7,11.0,8.32,0.87,701,30,7," ",,0.0
IC5152,,330.6745826,-51.2952777,1.97,7.97,11.03,7.08,0.62,122,60,9,BCD,,0.0
IC5201,,335.239166,-46.0341666,8.8,8.0,11.3,8.71,0.46,915,64,6," ",,0.0
KK258,,340.1829164,-30.7997222,2.0,12.15,16.3,1.7,0.5,,90,-3,Tr,,0.0
KK246,,300.989166,-31.6816666,7.83,13.3,17.06,0.91,0.42,435,87,10,Ir,,0.0
Sag dSph,,283.762916,-30.47833328,0.02,-0.2,4.5,446.68,0.48,140,90,-3,Sph,,0.0
DDO210,,311.715833,-12.84805554,0.94,11.29,14.0,2.63,0.5,-140,72,10,Ir,,0.0
M65,NGC3623,11.315,13.083,10.731,0.0,0.0,0.0,0.0,0,0,0," ",ngc3623.png,50000.0
HubbleUltraDeepField,HUDF,3.54444,-27.8,50.0,0.0,0.0,0.0,0.0,0,0,0," ",b33.png,31415.93
