Name,Altname,RAJ2000,DEJ2000,Dist,Kmag,Bmag,a26,b/a,HRV,i,TT,Mcl,img,size
VCC2033,,191.5187498,8.47638888,9.8,12.45,15.3,0.55,0.91,1485,27,9,BCD,,0.0
BootesII,,209.4999997,12.83333332,0.04,12.15,16.32,6.7,0.73,-117,51,-2,Sph,,0.0
UGC08061,,194.180833,11.9311111,6.49,13.5,15.97,0.83,0.8,563,41,10,Ir,,0.0
KKSG19,,156.1179164,-12.43249997,5.11,14.17,16.79,0.69,0.86,628,34,10,Ir,,0.0
KKSG16,,149.9479166,-9.34333332,9.7,13.62,18.0,0.87,0.78,,48,-3,Sph,,0.0
LV J0956-0929,,149.1566664,-9.48638888,5.18,13.28,15.89,0.93,0.73,627,49,9,BCD,,0.0
KKSG18,,151.4233332,-7.98138888,9.7,10.05,13.61,1.51,0.8,698,41,9,BCD,,0.0
KDG065,,151.3933332,-7.74916666,9.7,12.23,16.36,1.07,0.69,721,59,-3,Sph,,0.0
NGC3115,,151.308333,-7.7186111,9.68,5.88,9.87,8.51,0.35,681,90,-1," ",,0.0
KKSG17,,150.4099997,-8.24888887,9.7,12.82,15.41,1.66,0.21,446,90,10,Ir,,0.0
MCG -01-26-009,,150.39,-6.524999995,9.7,13.61,16.1,1.12,0.78,748,44,10,Ir,,0.0
UGCA193,,150.650833,-6.01194444,9.7,12.0,14.67,4.27,0.07,663,90,7," ",,0.0
SexA,,152.753333,-4.69277777,1.32,10.18,11.86,5.89,0.83,324,38,10,Ir,,0.0
LeoIV,,173.2374998,-0.52,0.16,12.7,16.9,7.3,0.78,132,48,-3,Sph,,0.0
LeoV,,172.7899996,2.219999998,0.18,13.39,17.6,4.1,0.45,173,90,-3,Sph,,0.0
UGC06145,,166.3958331,-1.863611109,10.7,13.88,16.45,1.38,0.56,753,66,10,Ir,,0.0
KKSG22,,166.532083,-1.448611108,10.7,15.67,18.2,0.5,0.8,,41,10,Ir,,0.0
NGC3521,,166.4525,-0.0358333333,10.7,5.78,9.83,10.96,0.46,797,66,4," ",,0.0
KKSG20,,166.1691665,0.058,10.7,15.01,17.51,0.52,0.8,835,41,10,Ir,,0.0
NGC3521sat,,166.4195832,0.1208333332,10.7,11.9,16.2,2.51,0.77,,45,-1,Sph,,0.0
UGC05797,,159.855,1.718611109,7.0,11.81,14.28,1.23,0.87,710,33,9,BCD,,0.0
KKSG15,,148.79375,-6.26999999,9.7,12.63,15.14,1.29,0.23,791,90,10,Ir,,0.0
SexDSph,,153.2625,-1.614444441,0.09,7.01,11.3,30.2,0.65,227,64,-3,Sph,,0.0
LV J1021+0054,,155.412083,0.89,6.78,14.94,17.5,0.42,0.73,701,49,10,Ir,,0.0
KDG058,,145.1124998,0.04249999996,10.0,14.62,17.2,0.66,0.78,,44,10,Ir,,0.0
SexB,,150.0004164,5.33222222,1.36,9.5,11.85,6.03,0.69,300,53,10,Ir,,0.0
CGCG 035-007,,143.687083,6.42555555,13.0,12.68,15.22,1.07,0.63,552,59,9,BCD,,0.0
AGC191803,,147.024583,7.129166655,14.9,14.05,16.5,0.72,0.47,535,63,9,Im,,0.0
UGC05288,,147.8216666,7.82722221,6.85,11.49,14.62,1.45,0.62,557,60,9,BCD,,0.0
AGC208397,,159.742083,3.87416666,26.2,17.19,19.7,0.17,0.6,763,62,10,Ir,,0.0
AGC208399,,160.0445832,4.90888888,20.9,17.54,20.0,0.16,0.88,747,32,10,Ir,,0.0
LV J1030+0607,,157.684583,6.12722222,7.8,14.35,16.8,0.71,0.6,640,62,10,Ir,,0.0
UGC05923,,162.2816664,6.91722222,22.3,11.46,14.4,1.26,0.47,709,63,7," ",,0.0
UGC06014,,163.4279165,9.72805555,10.4,12.49,15.0,1.2,0.57,1133,65,9,Im,,0.0
CGCG 066-109,,166.1104165,11.75499999,10.4,13.8,16.2,1.05,0.29,777,90,10,Ir,,0.0
LeG03,,158.9533332,8.47972222,10.4,14.6,17.3,0.95,0.23,1158,79,8," ",,0.0
AGC200499,,159.533333,10.38083332,10.4,11.56,14.4,0.85,0.78,1175,44,9,BCD,,0.0
LeG28,,163.2529164,10.37916665,10.4,15.85,18.3,0.68,0.5,,72,10,Tr,,0.0
LeG22,,162.404583,11.35166665,10.4,15.53,18.0,0.56,0.66,,56,10,Tr,,0.0
AGC202456,,163.0812498,11.04333331,10.4,12.01,16.2,0.72,0.89,824,30,-1,dE,,0.0
LSBC D640-14,,164.54375,11.99916666,10.4,14.34,18.5,0.48,0.66,,59,-2,Sph,,0.0
LSBC D640-13,,164.058333,12.01027777,10.4,14.48,16.9,0.58,0.57,989,65,10,Ir,,0.0
LSBC D640-12,,163.9879165,12.33888887,10.4,15.98,18.4,0.45,0.5,847,72,10,Ir,,0.0
LeG16,,161.6249997,11.75583332,10.4,14.8,19.0,0.29,0.98,,13,-2,Tr,,0.0
NGC3368,,161.690833,11.8197222,10.42,6.32,10.11,8.91,0.68,893,49,3," ",,0.0
KK96,,162.6129165,12.36083332,10.4,14.1,18.3,0.6,0.8,,45,-3,Sph,,0.0
LeG12,,161.0324997,11.53305555,10.4,16.03,18.5,0.22,0.8,,41,10,Ir,,0.0
NGC3351,,160.9904165,11.7036111,10.05,6.67,10.58,7.24,0.68,777,49,3," ",,0.0
LeG13,,161.2399998,11.91611109,10.4,14.99,17.43,0.42,0.44,871,81,10,Ir,,0.0
LeG09,,160.6441665,12.15055554,10.4,14.3,18.5,0.71,0.83,,39,-2,Sph,,0.0
LeG10,,160.9808332,12.13527777,10.4,16.75,19.2,0.16,0.95,,20,10,Ir,,0.0
LeG17,,161.6729165,12.32638888,10.4,12.79,16.98,0.58,0.78,1030,44,-1,Sph,,0.0
NGC3384,,162.0704163,12.62916665,11.38,6.75,10.85,5.5,0.45,704,80,-1," ",,0.0
NGC3379,,161.9566665,12.58166665,11.12,6.27,10.24,5.37,0.89,923,33,-3," ",,0.0
LeG18,,161.722083,12.7,10.4,16.46,18.9,0.28,0.75,636,47,10,Tr,,0.0
LeG19,,161.7283332,12.78805554,10.4,13.61,17.8,0.37,0.7,,52,-1,Sph,,0.0
LeG21,,161.753333,12.9597222,10.4,16.13,18.6,0.25,0.75,843,47,10,Ir,,0.0
LeG14,,161.5599997,12.95999999,10.4,14.51,18.7,0.36,0.88,,34,-3,Sph,,0.0
KK94,,161.7387498,12.99833331,10.4,15.03,17.5,0.58,0.85,832,35,10,Tr,,0.0
LeG26,,162.8379164,12.84916665,10.4,12.71,16.9,0.69,0.89,630,31,-2,Sph,,0.0
UGC05944,,162.5795832,13.27194443,11.07,12.0,15.6,1.12,0.97,1073,16,-1,dE,,0.0
NGC3412,,162.722083,13.41222221,10.4,7.67,11.44,3.98,0.56,846,66,-1," ",,0.0
LeG23,,162.5379163,13.4836111,10.4,16.62,19.1,0.18,0.95,,20,10,Ir,,0.0
AGC205540,,162.880833,14.1147222,10.4,15.52,18.0,0.32,0.62,832,60,10,Tr,,0.0
UGC05456,,151.8320832,10.3622222,5.6,11.63,13.84,1.62,0.5,527,72,9,Im,,0.0
LeoI,,152.1120832,12.30805553,0.25,6.93,11.18,9.77,0.79,283,42,-1,Sph,,0.0
AGC202248,,158.73375,11.49222221,10.4,15.08,17.5,0.37,0.74,1177,48,10,Ir,,0.0
NGC3299,,159.0991663,12.70749998,10.4,10.97,13.3,2.4,0.77,604,40,8," ",,0.0
AGC205156,,157.7204164,12.44666665,10.43,16.13,18.6,0.16,0.95,915,20,9,BCD,,0.0
FS04,,160.5012497,12.33499999,10.4,13.0,15.7,1.0,0.46,772,64,8," ",,0.0
UGC05812,,160.2358332,12.47194443,10.4,12.81,15.5,1.48,0.4,1008,68,8," ",,0.0
LeG05,,159.9304164,12.63444442,10.4,14.32,16.77,0.6,0.53,780,69,10,Tr,,0.0
LeG04,,159.9175,12.73499998,10.4,16.24,18.7,0.52,0.5,,72,10,Tr,,0.0
AGC205268,,160.718333,13.7411111,10.4,14.93,17.4,0.38,0.46,1145,64,9,BCD,,0.0
LeG06,,159.9820832,13.90777776,10.4,15.81,18.3,0.63,0.65,1007,57,10,Ir,,0.0
NGC3377,,161.9266665,13.98555553,10.91,7.44,11.24,5.25,0.58,678,68,-2," ",,0.0
AGC205445,,161.147083,13.9397222,10.4,12.17,16.4,0.6,0.84,633,37,-1,Tr,,0.0
KK93,,161.6033332,14.02499999,10.4,13.78,18.0,0.58,0.94,,24,-3,Sph,,0.0
DDO088,,161.8429164,14.07027775,7.73,11.91,14.4,2.14,0.95,573,20,9,Im,,0.0
AGC205165,,159.2699998,15.33749999,10.4,13.9,16.4,0.72,0.74,724,48,9,Im,,0.0
LeG11,,161.0087496,15.58888887,10.4,16.32,18.8,0.35,0.9,,29,10,Tr,,0.0
NGC3239,,156.2704165,17.1636111,7.9,9.0,11.73,5.01,0.61,754,53,8," ",,0.0
VCC0114,,183.6466665,5.677222215,8.2,13.75,16.16,0.6,0.52,2067,70,10,Ir,,0.0
VCC0565,,185.6604163,6.01444444,9.6,13.42,15.86,0.58,0.6,871,62,10,Ir,,0.0
UGC07636,,187.5041663,7.92944443,5.2,12.47,14.9,0.89,0.81,469,40,10,Ir,,0.0
VCC0381,,184.9754163,6.66583333,4.71,14.31,16.67,0.78,0.92,480,26,10,Ir,,0.0
VCC1675,,189.1458331,8.05472221,7.5,12.1,14.8,1.41,0.61,1790,61,9,BCD,,0.0
VCC1725,,189.4216665,8.55916666,8.5,11.74,14.89,1.17,0.54,1076,68,9,BCD,,0.0
UGC07596,,187.1412499,8.63972222,4.6,12.47,14.9,1.58,0.43,565,83,10,Ir,,0.0
VCC0169,,183.9841665,9.64916666,9.4,14.25,16.67,0.85,0.68,2219,54,10,Ir,,0.0
IC3077,,183.9845832,14.43305553,9.1,12.69,15.01,1.78,0.64,1406,58,9,BCD,,0.0
IC3023,,182.507083,14.36694442,7.7,12.85,15.35,1.1,0.71,817,51,10,Ir,,0.0
LV J1158+1535,,179.6683332,15.59277776,6.27,15.63,18.2,0.32,0.83,565,38,10,Ir,,0.0
VCC2037,,191.5637497,10.20333331,7.4,13.35,15.8,1.2,0.46,1142,78,10,Ir,,0.0
IC3718,,191.1916663,12.35138888,6.8,11.91,14.0,2.57,0.3,849,74,8," ",,0.0
GR8,,194.668333,14.21749998,2.13,12.9,14.79,1.66,0.91,217,27,10,Ir,,0.0
KDG216,,194.1041663,15.08583332,6.0,12.73,16.9,1.12,0.86,,37,-3,Tr,,0.0
IC3583,,189.1812498,13.25944442,7.6,11.2,13.31,2.88,0.52,1120,70,9,Im,,0.0
KDG177,,189.9937498,13.78138888,8.2,13.88,16.36,0.89,0.51,1005,71,10,Ir,,0.0
VCC0841,,186.445833,14.95194443,7.9,13.04,15.5,1.1,0.49,499,74,9,Im,,0.0
KK180,,196.124583,17.75888887,4.4,13.11,17.3,0.89,0.69,,55,-2,Sph,,0.0
KDG215,,193.9187496,19.20916665,5.5,14.47,16.9,1.17,0.54,419,68,10,Ir,,0.0
NGC4826,,194.1841664,21.6847222,4.37,5.33,9.3,13.8,0.52,409,63,2," ",,0.0
KK177,,195.6745832,21.99749995,4.4,13.15,17.4,0.78,0.91,,28,-2,Sph,,0.0
KDG104,,185.3662498,15.02444443,9.4,14.4,16.88,0.81,0.67,1861,55,10,Ir,,0.0
GR34,,185.5316664,15.79916665,8.9,13.5,15.95,0.93,0.82,1298,39,10,Ir,,0.0
NGC4204,,183.8099997,20.65861107,8.0,10.0,12.9,4.47,0.81,861,36,7," ",,0.0
KKH80,,187.0224998,22.2908333,7.43,14.37,16.8,0.85,0.69,602,53,10,Ir,,0.0
UGC07584,,187.012083,22.58944442,9.2,13.75,16.19,0.91,0.5,603,72,9,BCD,,0.0
